Results,EUR/USD Close,USD/JPY Close,USD/CAD Close,EUR/JPY Close
2018-06-01,1.166,109.53,1.28777,0.8734
2018-06-04,1.17,109.69,1.29528,0.87843
2018-06-05,1.1716,109.73,1.2951,0.87434
2018-06-06,1.1767,110.22,1.29405,0.87809
2018-06-07,1.1813,109.74,1.29306,0.8792
2018-06-08,1.1768,109.47,1.29434,0.87724
2018-06-11,1.1784,110.03,1.2944,0.88049
2018-06-12,1.1748,110.36,1.29808,0.87879
2018-06-13,1.1784,110.52,1.29248,0.8814
2018-06-14,1.1597,110.58,1.31296,0.87288
2018-06-15,1.1613,110.59,1.31727,0.87347
2018-06-18,1.1614,110.5,1.3213,128.35
2018-06-19,1.1571,110.06,1.3283,127.36
2018-06-20,1.1584,110.39,1.3318,127.89
2018-06-21,1.162,109.87,1.3305,127.67
2018-06-22,1.1659,109.9,1.3282,128.15
2018-06-25,1.1707,109.39,1.3298,128.08
2018-06-26,1.1649,110.06,1.3302,128.21
2018-06-27,1.1546,110.3,1.3358,127.36
2018-06-28,1.1558,110.61,1.3269,127.85
2018-06-29,1.1672,110.86,1.3158,129.4
2018-07-02,1.1642,110.83,1.3189,129.04
2018-07-03,1.1652,110.53,1.3163,128.79
2018-07-04,1.1647,110.5,1.3142,128.71
2018-07-05,1.168,110.67,1.3144,129.27
2018-07-06,1.1742,110.46,1.3103,129.7
2018-07-09,1.1749,110.81,1.3108,130.19
2018-07-10,1.1743,111.27,1.3121,130.66
2018-07-11,1.1675,111.99,1.3193,130.75
2018-07-12,1.1666,112.5,1.3171,131.27
2018-07-13,1.1677,112.31,1.3159,131.15
2018-07-16,1.1713,112.27,1.3143,131.52
2018-07-17,1.166,112.84,1.3191,131.58
2018-07-18,1.1647,112.85,1.3174,131.42
2018-07-19,1.1643,112.45,1.3253,130.93
2018-07-20,1.1723,111.55,1.3132,130.76
2018-07-23,1.169,111.48,1.3174,130.33
2018-07-24,1.1682,111.19,1.3158,129.91
2018-07-25,1.1732,110.95,1.3039,130.18
2018-07-26,1.1645,111.24,1.3067,129.54
2018-07-27,1.1656,111,1.3067,129.38
2018-07-30,1.1709,111.01,1.3023,129.99
2018-07-31,1.1698,111.82,1.2994,130.8
2018-08-01,1.1662,111.56,1.2991,130.11
2018-08-02,1.1586,111.69,1.3025,129.41
2018-08-03,1.1575,111.25,1.2981,128.78
